統計學,6
微積分,6
經濟學,6
線性代數,6
初級會計學（一）,3
程式設計與統計軟體,3
數理統計學（一）,3
初級會計學（二,3
迴歸分析（一）,3
商事法,2
數理統計學（二）,3
社會責任與倫理,1
